timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2015-10-08 10:33:15.179630241,-0.946731,-0.023673,0.357449,-0.994417,0.06633,-0.027979,6
2015-10-08 10:33:15.199630240,-0.919184,-0.022262,0.36205,-1.002791,0.068321,-0.032049,6
2015-10-08 10:33:15.219630239,-0.934248,-0.029058,0.367329,-1.005693,0.066588,-0.019949,6
2015-10-08 10:33:15.239630238,-0.911727,-0.031117,0.368761,-1.01025,0.068021,-0.017093,6
2015-10-08 10:33:15.259630237,-0.929327,-0.029019,0.355972,-0.99585,0.066935,-0.004069,6
2015-10-08 10:33:15.279630236,-0.917233,-0.037793,0.370497,-1.000736,0.067548,-0.019192,6
2015-10-08 10:33:15.299630235,-0.935239,-0.039047,0.369654,-0.998719,0.067826,-0.026821,6
2015-10-08 10:33:15.319630234,-0.919638,-0.024147,0.371158,-1.007662,0.063664,-0.030296,6
2015-10-08 10:33:15.339630233,-0.939689,-0.027928,0.36682,-1.002083,0.050181,-0.021521,6
2015-10-08 10:33:15.359630232,-0.923369,-0.036766,0.359586,-1.002025,0.052573,-0.018714,6
2015-10-08 10:33:15.379630231,-0.932279,-0.03595,0.352669,-0.995771,0.057725,-0.009191,6
2015-10-08 10:33:15.399630230,-0.930621,-0.038685,0.355373,-1.001234,0.054208,-0.014809,6
2015-10-08 10:33:15.419630229,-0.936979,-0.036336,0.353187,-0.995626,0.058005,-0.019832,6
2015-10-08 10:33:15.439630228,-0.920946,-0.023869,0.356009,-1.002918,0.067531,-0.028176,6
2015-10-08 10:33:15.459630227,-0.934017,-0.037445,0.364626,-1.005447,0.053722,0.002612,6
2015-10-08 10:33:15.479630226,-0.917807,-0.037808,0.354983,-1.009232,0.051663,0.002136,6
2015-10-08 10:33:15.499630225,-0.926597,-0.041361,0.354968,-1.002428,0.051744,0.016993,6
2015-10-08 10:33:15.519630224,-0.922237,-0.032228,0.345169,-1.004556,0.051454,0.001361,6
2015-10-08 10:33:15.539630223,-0.933466,-0.026343,0.344707,-1.000439,0.05419,0.02234,6
2015-10-08 10:33:15.559630222,-0.926007,-0.024885,0.348308,-0.998892,0.0544,-0.004622,6
2015-10-08 10:33:15.579630221,-0.942054,-0.023478,0.351987,-0.997707,0.05034,-0.008121,6
2015-10-08 10:33:15.599630220,-0.930812,-0.027246,0.350673,-0.999932,0.052826,0.001911,6
2015-10-08 10:33:15.619630219,-0.941914,-0.025316,0.365838,-1.008985,0.055901,-0.008922,6
2015-10-08 10:33:15.639630218,-0.92652,-0.045123,0.371709,-0.999773,0.077266,-0.019798,6
2015-10-08 10:33:15.659630217,-0.929537,-0.061492,0.36936,-1.000565,0.080533,-0.025655,6
2015-10-08 10:33:15.679630216,-0.918173,-0.069274,0.373168,-1.02198,0.029668,-0.052031,6
2015-10-08 10:33:15.699630215,-0.933515,-0.060991,0.384526,-1.007563,0.004146,-0.030063,6
2015-10-08 10:33:15.719630214,-0.939602,-0.051164,0.384864,-1.005995,0.022265,-0.02554,6
2015-10-08 10:33:15.739630213,-0.939042,-0.034932,0.383188,-1.011077,0.051673,-0.010629,6
2015-10-08 10:33:15.759630212,-0.918251,-0.02265,0.381166,-1.01305,0.083647,0.004252,6
2015-10-08 10:33:15.779630211,-0.920203,-0.02385,0.366872,-1.002877,0.086919,0.019348,6
2015-10-08 10:33:15.799630210,-0.918828,-0.009719,0.373572,-1.006597,0.076812,0.032173,6
2015-10-08 10:33:15.819630209,-0.927269,-0.006873,0.363425,-1.005623,0.07431,0.035435,6
2015-10-08 10:33:15.839630208,-0.928235,0.003501,0.360368,-0.997161,0.077884,0.039122,6
2015-10-08 10:33:15.859630207,-0.93754,0.008056,0.360593,-0.999021,0.076443,0.041932,6
2015-10-08 10:33:15.879630206,-0.93132,0.00845,0.370062,-0.998479,0.086828,0.032093,6
2015-10-08 10:33:15.899630205,-0.930577,-0.0032,0.373285,-0.998252,0.079305,0.02871,6
2015-10-08 10:33:15.919630204,-0.931805,-0.006172,0.386905,-0.999302,0.087612,0.018178,6
2015-10-08 10:33:15.939630203,-0.934878,0.011492,0.389911,-0.995532,0.0719,0.026116,6
2015-10-08 10:33:15.959630202,-0.926284,0.00737,0.396558,-0.986592,0.082568,0.016183,6
2015-10-08 10:33:15.979630201,-0.925623,-0.000597,0.401185,-0.987946,0.092826,0.023295,6
2015-10-08 10:33:15.999630200,-0.930876,0.016192,0.418773,-0.99498,0.075009,0.003102,6
2015-10-08 10:33:16.019630199,-0.922352,0.043766,0.424705,-0.99892,0.082531,-0.009729,6
2015-10-08 10:33:16.039630198,-0.894127,0.021306,0.419967,-1.017865,0.059791,-0.00266,6
2015-10-08 10:33:16.059630197,-0.894148,-0.010447,0.416661,-1.02798,0.049759,0.033371,6
2015-10-08 10:33:16.079630196,-0.875866,-0.017437,0.429578,-1.009128,0.055591,0.031758,6
2015-10-08 10:33:16.099630195,-0.890906,-0.016952,0.428897,-0.99519,0.068579,0.015438,6
2015-10-08 10:33:16.119630194,-0.891013,-0.022496,0.417043,-0.997107,0.076623,0.018648,6
2015-10-08 10:33:16.139630193,-0.897565,-0.035835,0.417857,-0.999855,0.084641,0.015714,6
2015-10-08 10:33:16.159630192,-0.894885,-0.057561,0.407043,-0.996574,0.067195,0.012106,6
2015-10-08 10:33:16.179630191,-0.896966,-0.077794,0.401096,-1.008212,0.052053,0.040567,6
2015-10-08 10:33:16.199630190,-0.890294,-0.078247,0.402988,-1.018386,0.051058,0.050266,6
2015-10-08 10:33:16.219630189,-0.902624,-0.059922,0.400976,-1.006351,0.055221,0.053121,6
2015-10-08 10:33:16.239630188,-0.908321,-0.045675,0.403997,-1.004633,0.070737,0.055569,6
2015-10-08 10:33:16.259630187,-0.904374,-0.036906,0.392779,-0.98155,0.079697,0.077856,6
2015-10-08 10:33:16.279630186,-0.900549,-0.041436,0.387304,-0.976465,0.089028,0.07903,6
2015-10-08 10:33:16.299630185,-0.909908,-0.030687,0.39998,-0.990915,0.113508,0.067655,6
2015-10-08 10:33:16.319630184,-0.91144,-0.023654,0.406636,-1.013833,0.130946,0.05135,6
2015-10-08 10:33:16.339630183,-0.91817,-0.039782,0.414691,-1.005872,0.128939,0.056945,6
2015-10-08 10:33:16.359630182,-0.91803,-0.055983,0.406964,-0.989472,0.105131,0.067812,6
2015-10-08 10:33:16.379630181,-0.915733,-0.054504,0.400238,-0.985646,0.081989,0.066499,6
2015-10-08 10:33:16.399630180,-0.908789,-0.06015,0.410797,-0.985463,0.102332,0.049445,6
2015-10-08 10:33:16.419630179,-0.901166,-0.052308,0.419749,-1.007092,0.117912,0.042105,6
2015-10-08 10:33:16.439630178,-0.909157,-0.061865,0.416753,-1.015165,0.120593,0.043495,6
2015-10-08 10:33:16.459630177,-0.906436,-0.057324,0.418718,-1.002946,0.112373,0.05899,6
2015-10-08 10:33:16.479630176,-0.898521,-0.055618,0.401817,-0.998612,0.101146,0.073273,6
2015-10-08 10:33:16.499630175,-0.913265,-0.044379,0.406855,-0.998105,0.097753,0.06761,6
2015-10-08 10:33:16.519630174,-0.90703,-0.038036,0.408549,-0.995319,0.097617,0.053086,6
2015-10-08 10:33:16.539630173,-0.900013,-0.039255,0.417052,-0.997058,0.085168,0.051497,6
2015-10-08 10:33:16.559630172,-0.890389,-0.039483,0.417825,-1.001395,0.086166,0.05073,6
