timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2017-05-31 12:29:19.040,-0.934768,-0.100329,-0.252608,-0.97197,0.07939,-0.120364,6
2017-05-31 12:29:19.060,-0.947251,-0.089445,-0.234597,-0.962887,0.089452,-0.135113,6
2017-05-31 12:29:19.080,-0.956334,-0.092214,-0.235739,-0.973292,0.10462,-0.139545,6
2017-05-31 12:29:19.100,-0.96866,-0.085992,-0.233166,-0.983521,0.1247,-0.142337,6
2017-05-31 12:29:19.120,-0.982182,-0.098815,-0.236093,-0.978091,0.119457,-0.135127,6
2017-05-31 12:29:19.140,-1.002449,-0.108342,-0.233659,-0.984761,0.110726,-0.136273,6
2017-05-31 12:29:19.160,-1.008231,-0.119534,-0.230531,-0.995442,0.113852,-0.135452,6
2017-05-31 12:29:19.180,-1.010623,-0.10925,-0.227772,-0.997238,0.109452,-0.10516,6
2017-05-31 12:29:19.200,-1.000286,-0.099095,-0.245926,-0.995454,0.091952,-0.113114,6
2017-05-31 12:29:19.220,-0.99128,-0.102854,-0.233548,-0.997112,0.079919,-0.117167,6
2017-05-31 12:29:19.240,-0.992377,-0.099717,-0.237437,-0.995764,0.081994,-0.124119,6
2017-05-31 12:29:19.260,-0.976946,-0.103415,-0.230005,-0.983872,0.07952,-0.124941,6
2017-05-31 12:29:19.280,-0.976384,-0.097805,-0.229748,-0.979221,0.087576,-0.122616,6
2017-05-31 12:29:19.300,-0.976523,-0.095452,-0.233583,-0.981073,0.09792,-0.116457,6
2017-05-31 12:29:19.320,-0.959294,-0.101698,-0.237476,-0.985594,0.102114,-0.125408,6
2017-05-31 12:29:19.340,-0.94601,-0.102206,-0.224882,-0.985266,0.116083,-0.138312,6
2017-05-31 12:29:19.360,-0.937271,-0.098827,-0.236185,-0.977735,0.094638,-0.145752,6
2017-05-31 12:29:19.380,-0.917863,-0.112102,-0.224833,-0.982988,0.084014,-0.151637,6
2017-05-31 12:29:19.400,-0.912565,-0.108642,-0.218031,-0.979013,0.077993,-0.150021,6
2017-05-31 12:29:19.420,-0.931308,-0.10045,-0.218485,-0.981557,0.068408,-0.152924,6
2017-05-31 12:29:19.440,-0.944886,-0.09323,-0.2194,-0.964236,0.061575,-0.159501,6
2017-05-31 12:29:19.460,-0.970879,-0.083623,-0.217901,-0.982505,0.094122,-0.164143,6
